,index,sale_price_log10,sale_price_log10_pct,price_per_sqft_log10,price_per_sqft_log10_pct,days_since_last_transaction,days_since_last_transaction_pct,counts,counts_pct,pct,pct_pct,total_pct,total_pct_pct,side,non_flagged
0,"(4, 4)",481,0.002,318,0.002,50,0.0,350,0.002,80,0.0,110,0.001,both,201147
1,"(3, 4)",1540,0.008,476,0.002,50,0.0,350,0.002,125,0.001,143,0.001,both,199928
2,"(3, 3)",1793,0.009,1140,0.006,161,0.001,999,0.005,147,0.001,288,0.001,both,198305
3,"(2, 3)",7375,0.036,3552,0.018,167,0.001,1004,0.005,293,0.001,438,0.002,both,190738
4,"(2, 2)",9377,0.046,6505,0.032,1216,0.006,4101,0.02,523,0.003,1008,0.005,both,182556
5,"(1, 2)",31268,0.155,35906,0.177,4074,0.02,4132,0.02,1469,0.007,3807,0.019,both,137089
6,"(1, 1)",54307,0.268,64077,0.317,7310,0.036,5228,0.026,2771,0.014,6359,0.031,both,98910
7,"(1, 0)",139776,0.691,130958,0.647,12650,0.063,5383,0.027,6095,0.03,13530,0.067,left,19133
8,"(2, 0)",117885,0.582,101557,0.502,9792,0.048,5352,0.026,5149,0.025,10731,0.053,left,34340
9,"(3, 0)",112303,0.555,99145,0.49,9786,0.048,5347,0.026,5003,0.025,10581,0.052,left,38000
10,"(4, 0)",111244,0.55,98987,0.489,9786,0.048,5347,0.026,4958,0.024,10548,0.052,left,38634
11,"(0, 1)",116909,0.578,135421,0.669,19502,0.096,44626,0.221,7181,0.035,15761,0.078,right,21769
12,"(0, 2)",93870,0.464,107250,0.53,16266,0.08,43530,0.215,5879,0.029,13209,0.065,right,35947
13,"(0, 3)",91868,0.454,104297,0.515,15217,0.075,40433,0.2,5649,0.028,12639,0.062,right,37309
14,"(0, 4)",91615,0.453,103633,0.512,15106,0.075,39784,0.197,5627,0.028,12494,0.062,right,37563
